method_id,dataset_id,eval_paper_title,eval_date,eval_year,eval_month,eval_day,task_id
pwc:method/retinanet,pwc:dataset/coco,Multiple_instance_active_learning_for_object_detection,2021-04-06,2021,4,6,pwc:task/active-object-detection
pwc:method/nafnet,pwc:dataset/gopro,Simple_Baselines_for_Image_Restoration,2022-04-10,2022,4,10,pwc:task/deblurring
pwc:method/mprnet,pwc:dataset/gopro,Multi_Stage_Progressive_Image_Restoration,2021-02-04,2021,2,4,pwc:task/deblurring
pwc:method/dbgan,pwc:dataset/gopro,Deblurring_by_Realistic_Blurring,2020-04-04,2020,4,4,pwc:task/deblurring
pwc:method/srn,pwc:dataset/gopro,Scale_recurrent_Network_for_Deep_Image_Deblurring,2018-02-06,2018,2,6,pwc:task/deblurring
pwc:method/mprnet,pwc:dataset/rsblur,Multi_Stage_Progressive_Image_Restoration,2021-02-04,2021,2,4,pwc:task/deblurring
pwc:method/social-stgcnn,pwc:dataset/eth,Social_STGCNN__A_Social_Spatio_Temporal_Graph_Convolutional_Neural_Network_for_Human_Trajectory_Prediction,2020-02-27,2020,2,27,pwc:task/trajectory-prediction
pwc:method/svm,pwc:dataset/mimic-iii,Explainable_Prediction_of_Medical_Codes_from_Clinical_Text,2018-02-15,2018,2,15,pwc:task/medical-code-prediction
pwc:method/logistic-regression,pwc:dataset/mimic-iii,Explainable_Prediction_of_Medical_Codes_from_Clinical_Text,2018-02-15,2018,2,15,pwc:task/medical-code-prediction
pwc:method/mei,pwc:dataset/yago3-10,Multi_Partition_Embedding_Interaction_with_Block_Term_Format_for_Knowledge_Graph_Completion,2020-06-29,2020,6,29,pwc:task/link-prediction
pwc:method/complex-n3-rp,pwc:dataset/aristo-v4,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/complex-n3-rp,pwc:dataset/codex,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/tucker,pwc:dataset/codex,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/rescal,pwc:dataset/codex,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/codex,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/complex-n3-rp,pwc:dataset/codex-large,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/tucker,pwc:dataset/codex-large,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/rescal,pwc:dataset/codex-large,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/codex-large,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/complex-n3-rp,pwc:dataset/wn18rr,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/rotate,pwc:dataset/wn18rr,RotatE__Knowledge_Graph_Embedding_by_Relational_Rotation_in_Complex_Space,2019-02-26,2019,2,26,pwc:task/link-prediction
pwc:method/kgrefiner,pwc:dataset/wn18rr,KGRefiner__Knowledge_Graph_Refinement_for_Improving_Accuracy_of_Translational_Link_Prediction_Methods,2021-06-27,2021,6,27,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/wn18rr,Translating_Embeddings_for_Modeling_Multi_relational_Data,2013-12-01,2013,12,1,pwc:task/link-prediction
