method_id,paper_id
pwc:method/svm,pwc:paper/pac-bayes-bounds-for-stable-algorithms-with
pwc:method/3d-convolution,pwc:paper/deep-spatiotemporal-representation-of-the
pwc:method/average-pooling,pwc:paper/deep-spatiotemporal-representation-of-the
pwc:method/convolution,pwc:paper/deep-spatiotemporal-representation-of-the
pwc:method/convolution,pwc:paper/kid-net-convolution-networks-for-kidney
pwc:method/average-pooling,pwc:paper/modularity-matters-learning-invariant
pwc:method/relu,pwc:paper/modularity-matters-learning-invariant
pwc:method/1x1-convolution,pwc:paper/modularity-matters-learning-invariant
pwc:method/batch-normalization,pwc:paper/modularity-matters-learning-invariant
pwc:method/bottleneck-residual-block,pwc:paper/modularity-matters-learning-invariant
pwc:method/global-average-pooling,pwc:paper/modularity-matters-learning-invariant
pwc:method/residual-block,pwc:paper/modularity-matters-learning-invariant
pwc:method/he-initialization,pwc:paper/modularity-matters-learning-invariant
pwc:method/max-pooling,pwc:paper/modularity-matters-learning-invariant
pwc:method/residual-connection,pwc:paper/modularity-matters-learning-invariant
pwc:method/convolution,pwc:paper/modularity-matters-learning-invariant
pwc:method/resnet,pwc:paper/modularity-matters-learning-invariant
pwc:method/affine-coupling,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/normalizing-flows,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/adam,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/sgd,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/memory-network,pwc:paper/a-memory-network-approach-for-story-based
pwc:method/autoencoder,pwc:paper/surface-networks
pwc:method/convolution,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:method/gan,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:method/convolution,pwc:paper/banach-wasserstein-gan
pwc:method/wgan,pwc:paper/banach-wasserstein-gan
pwc:method/logistic-regression,pwc:paper/snap-ml-a-hierarchical-framework-for-machine
pwc:method/speed,pwc:paper/ista-net-interpretable-optimization-inspired
pwc:method/sigmoid-activation,pwc:paper/state-gradients-for-rnn-memory-analysis
pwc:method/tanh-activation,pwc:paper/state-gradients-for-rnn-memory-analysis
pwc:method/lstm,pwc:paper/state-gradients-for-rnn-memory-analysis
pwc:method/average-pooling,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/sniper,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/weight-decay,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/softmax,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/roi-pooling,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/faster-r-cnn,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/rpn,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/residual-connection,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/relu,pwc:paper/sniper-efficient-multi-scale-training
