citing_arxiv_id,cited_arxiv_id,citation_marker_uuid,citing_pwc_id,cited_pwc_id
2005.05740,1710.06555,9ab3d5df-9b5f-48df-95ec-65def9caed3a,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/learning-deep-context-aware-features-over
2005.05740,1704.01719,0eb3e5cd-0ae9-4809-92b9-e740ddb2bf81,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/beyond-triplet-loss-a-deep-quadruplet-network
2005.05740,1710.00478,e277ef7c-4dea-4df3-8bb9-c5d52605012e,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/margin-sample-mining-loss-a-deep-learning
2005.05740,1701.07717,d8b0648c-f981-40f7-bdb3-f626f9279242,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/unlabeled-samples-generated-by-gan-improve
2005.05740,1707.05574,729e228d-c462-48bd-a06d-1e957f2c7d7f,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/one-shot-face-recognition-by-promoting
2005.05740,1703.07737,d1527733-0323-4c65-a2ce-c1a0a41b614a,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/in-defense-of-the-triplet-loss-for-person-re
2005.05740,1801.07698,81bf1f58-9228-49fa-902b-9dde043e3989,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/arcface-additive-angular-margin-loss-for-deep
2005.05740,1703.10593,682a1272-c6be-4048-a0f7-495d3ad0225c,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/unpaired-image-to-image-translation-using
2005.05740,1512.00567,e408be98-9504-47d6-95aa-3ae7e473a301,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/rethinking-the-inception-architecture-for
2005.05740,1412.6980,aee59481-38cf-463d-a700-dad87fcae3fe,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/adam-a-method-for-stochastic-optimization
2005.05740,1701.07717,1d59bf9e-ef4d-46f1-bfa6-225fd2a2d36c,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/unlabeled-samples-generated-by-gan-improve
2005.05740,1701.08398,73725625-b694-4095-a676-1154e3f7f806,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/re-ranking-person-re-identification-with-k
2005.05740,1707.00408,fd593dc4-8a79-40dd-b42a-3b2a226f3d31,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/pedestrian-alignment-network-for-large-scale
2005.05740,1703.05693,96ec80b7-b7a1-4243-93b1-95b025535aa7,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/svdnet-for-pedestrian-retrieval
2005.05740,1708.04896,5d2d63d9-5194-47d8-9dde-3d659a1a41ba,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/random-erasing-data-augmentation
2005.05740,1606.04404,959512f6-d79d-454a-bb76-28c759ccb93c,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/end-to-end-comparative-attention-networks-for
2005.05740,1707.00798,92f81ba0-1132-4ebc-aa16-a1f5b3833ea9,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/deep-representation-learning-with-part-loss
2005.05740,1711.08184,ec798c2e-347f-4eb6-84d2-164b11b7854b,pwc:paper/readnet-towards-accurate-reid-with-limited,pwc:paper/alignedreid-surpassing-human-level
2005.05930,1808.06865,00bfb0ba-6d7f-4881-bfe5-736d3b6617de,pwc:paper/localized-convolutional-neural-networks-for,pwc:paper/machine-learning-for-spatiotemporal-sequence
2005.05930,1508.06576,07543149-8d7c-4a9a-8c7c-133188e681ee,pwc:paper/localized-convolutional-neural-networks-for,pwc:paper/a-neural-algorithm-of-artistic-style
2005.05930,1502.03167,a48926c1-803e-4929-982a-205ab0e7f415,pwc:paper/localized-convolutional-neural-networks-for,pwc:paper/batch-normalization-accelerating-deep-network
2005.05752,1602.05629,34293902-21a3-4241-9581-c70b58dafb88,pwc:paper/a-secure-federated-learning-framework-for-5g,pwc:paper/communication-efficient-learning-of-deep
2005.05752,1712.07557,a9bba663-a248-45f4-8b88-3d9a0c5dec23,pwc:paper/a-secure-federated-learning-framework-for-5g,pwc:paper/differentially-private-federated-learning-a
2005.05868,1603.08270,d7d3d7c7-1ace-4e00-be00-e5e25bfb09c7,pwc:paper/recurrent-and-spiking-modeling-of-sparse,pwc:paper/convolutional-networks-for-fast-energy
2005.05868,1903.02306,b24efa11-54b5-4330-abcb-1bf6b3ecc944,pwc:paper/recurrent-and-spiking-modeling-of-sparse,pwc:paper/video-based-surgical-skill-assessment-using
2005.05856,1704.05519,c348a5f7-6bf3-4d39-b88c-5ab505bd8b26,pwc:paper/probabilistic-semantic-segmentation,pwc:paper/computer-vision-for-autonomous-vehicles
